model: alexnet
cpu2gpu_batch1	gpu_batch1	cpu2gpu_batch2	gpu_batch2	cpu2gpu_batch3	gpu_batch3	cpu2gpu_batch4	gpu_batch4	cpu2gpu_batch5	gpu_batch5	cpu2gpu_batch6	gpu_batch6	cpu2gpu_batch7	gpu_batch7	cpu2gpu_batch8	gpu_batch8	cpu2gpu_batch9	gpu_batch9	cpu2gpu_batch10	gpu_batch10	cpu2gpu_batch11	gpu_batch11	cpu2gpu_batch12	gpu_batch12	cpu2gpu_batch13	gpu_batch13	cpu2gpu_batch14	gpu_batch14	cpu2gpu_batch15	gpu_batch15	cpu2gpu_batch16	gpu_batch16	cpu2gpu_batch17	gpu_batch17	cpu2gpu_batch18	gpu_batch18	cpu2gpu_batch19	gpu_batch19	cpu2gpu_batch20	gpu_batch20	cpu2gpu_batch21	gpu_batch21	cpu2gpu_batch22	gpu_batch22	cpu2gpu_batch23	gpu_batch23	cpu2gpu_batch24	gpu_batch24	cpu2gpu_batch25	gpu_batch25	cpu2gpu_batch26	gpu_batch26	cpu2gpu_batch27	gpu_batch27	cpu2gpu_batch28	gpu_batch28	cpu2gpu_batch29	gpu_batch29	cpu2gpu_batch30	gpu_batch30	cpu2gpu_batch31	gpu_batch31	cpu2gpu_batch32	gpu_batch32	cpu2gpu_batch64	gpu_batch64	cpu2gpu_batch128	gpu_batch128	cpu2gpu_batch256	gpu_batch256	
0.000330210	0.323778629	0.000456333	0.331143618	0.000461340	0.328623772	0.000600100	0.337497234	0.000543356	0.342381954	0.000688791	0.346660137	0.000755548	0.348264456	0.000748634	0.350942850	0.000837088	0.352242470	0.000765324	0.380280972	0.003464937	0.359031677	0.000983238	0.372691154	0.001012087	0.387057543	0.001042366	0.374323130	0.001032114	0.383875132	0.001086712	0.387098312	0.001162529	0.406641483	0.001197815	0.399411917	0.005561829	0.378604412	0.005900621	0.391129971	0.001479864	0.411314249	0.002032280	0.415541410	0.002032995	0.402481318	0.002119780	0.425472975	0.002177477	0.440630913	0.011323452	0.402432680	0.007870436	0.429211855	0.008252859	0.435908079	0.008224249	0.411537647	0.002471447	0.387952805	0.008946657	0.431187868	0.002097607	0.475560427	0.003780603	0.516258717	0.007508516	0.439270973	0.013930321	0.542606831	
0.000212908	0.009146452	0.000204563	0.009416103	0.000219107	0.011615515	0.000260353	0.011106014	0.000314474	0.010805607	0.000362396	0.011689663	0.000433922	0.012909651	0.000464201	0.013517857	0.000575781	0.015615225	0.000556946	0.015604734	0.000614166	0.016296864	0.000666857	0.017205477	0.000714302	0.018068314	0.000753164	0.019467354	0.000808716	0.019940138	0.000851393	0.020745039	0.000900269	0.021544456	0.000958681	0.022380590	0.000998974	0.023273706	0.001052141	0.024125814	0.001106024	0.025280476	0.001142263	0.025987625	0.001197338	0.026718140	0.001260281	0.027586222	0.001291990	0.028501272	0.001366138	0.029449224	0.001394987	0.030447006	0.001466274	0.031119585	0.001493454	0.032005072	0.001530886	0.032819033	0.001601696	0.033895016	0.001657724	0.034554005	0.003188372	0.063519239	0.006335974	0.108982086	0.012597084	0.206615448	
0.000220776	0.007284403	0.000193596	0.008271694	0.000212908	0.009298325	0.000258207	0.009865046	0.000300884	0.010695457	0.000350714	0.011738539	0.000400782	0.012482405	0.000449419	0.013598919	0.000497103	0.014374495	0.000551224	0.015290260	0.000592470	0.016145229	0.000643015	0.017015457	0.000692606	0.017901897	0.000751495	0.018812656	0.000791311	0.019710779	0.000846863	0.020643234	0.000890255	0.021400213	0.000950336	0.022253275	0.000993013	0.023217201	0.001038074	0.024007082	0.001091242	0.024982929	0.001139641	0.025962353	0.001191616	0.026768208	0.001235247	0.027509212	0.001283646	0.028465986	0.001333475	0.029467106	0.001386404	0.030328512	0.001425028	0.031049728	0.001480818	0.031975269	0.001528502	0.032839060	0.001581430	0.036839247	0.001627207	0.034794092	0.003184557	0.061926603	0.014434576	0.108701944	0.012630701	0.204428196	
0.000244141	0.008349180	0.000426769	0.009753704	0.000398874	0.009583235	0.000256538	0.009839535	0.000297308	0.010687828	0.000349760	0.011597872	0.000400543	0.013742447	0.000448942	0.013479233	0.000494719	0.014394045	0.000543594	0.015317678	0.000592470	0.016132832	0.000644684	0.017283201	0.000696182	0.017929316	0.000741720	0.019003630	0.000803471	0.019932747	0.000851870	0.020584822	0.000892639	0.021690845	0.000943184	0.022232533	0.000998259	0.023290157	0.001040459	0.024152756	0.001090050	0.024995089	0.001140356	0.025716782	0.001184225	0.026444197	0.001237869	0.026530743	0.001286268	0.027588844	0.001337051	0.029314518	0.001386642	0.029241323	0.001449347	0.033422709	0.001483679	0.032046318	0.001539469	0.032967567	0.001601934	0.029964447	0.001632452	0.034571886	0.003212690	0.058654308	0.008404493	0.104964495	0.012614727	0.204575777	
0.000241518	0.008482933	0.000151396	0.008475780	0.000218153	0.008970261	0.000407457	0.010171413	0.000302553	0.011264324	0.000352144	0.011634350	0.000407219	0.012899399	0.000447273	0.013464451	0.000504732	0.014415264	0.000550747	0.015358448	0.000593185	0.016138554	0.000649691	0.017119646	0.000700712	0.018130064	0.000748158	0.018853188	0.000807047	0.019799232	0.000852823	0.019144058	0.000906467	0.021789789	0.000941753	0.022423744	0.001005888	0.023149014	0.001050234	0.024015665	0.001091480	0.024899483	0.001148701	0.024356842	0.001206160	0.025034189	0.001251459	0.025742292	0.001296759	0.026666403	0.001350164	0.029316425	0.001411200	0.028360844	0.001455307	0.031119347	0.001508951	0.032239437	0.001535177	0.033059597	0.001590967	0.029959202	0.001657486	0.034523964	0.003184319	0.058493853	0.006356955	0.104876280	0.012615204	0.204369783	
0.000176907	0.007433891	0.000182390	0.008289814	0.000205278	0.008977175	0.000255108	0.010711670	0.000402451	0.011054516	0.000352144	0.011709690	0.000398874	0.012726307	0.000478983	0.013823509	0.000514507	0.014456749	0.000562668	0.015425444	0.000599623	0.016194344	0.000662565	0.016247034	0.000707626	0.018126726	0.000756264	0.019050837	0.000793934	0.019939661	0.000860929	0.019080877	0.000905275	0.021584511	0.000943661	0.023429394	0.001009941	0.022021055	0.002476215	0.023390055	0.003371239	0.025552988	0.001146078	0.024885654	0.001212597	0.026023149	0.002597094	0.025678873	0.001306772	0.026711464	0.001358032	0.027660608	0.001423359	0.028225660	0.001447439	0.031139851	0.001500368	0.031991959	0.001571178	0.032526493	0.001616716	0.030035734	0.001642466	0.033622265	0.003184080	0.056559086	0.006335020	0.104787588	0.014091969	0.204066992	
0.000198364	0.008282900	0.000328541	0.009951353	0.000910759	0.009025812	0.000254393	0.010056257	0.000302315	0.010752439	0.000349998	0.011602163	0.000419855	0.014339685	0.000463963	0.013615847	0.000506639	0.014660597	0.000573635	0.015473366	0.000609398	0.018675327	0.000664949	0.016298056	0.000719070	0.019195795	0.000758410	0.018949986	0.000795364	0.019829512	0.000862122	0.019112110	0.000937223	0.024648190	0.000944138	0.022547245	0.001029730	0.022215366	0.001079798	0.022660732	0.001093864	0.023839951	0.001148939	0.024030447	0.001245022	0.029353142	0.001300335	0.029866219	0.001310587	0.026709795	0.001362324	0.027798414	0.001413584	0.028278589	0.001451254	0.031182766	0.001517773	0.032378912	0.001558065	0.030752420	0.001606464	0.030162573	0.001661777	0.032552481	0.003249407	0.055572987	0.006346941	0.104587555	0.012608528	0.204093695	
0.000243425	0.008466244	0.000201941	0.009064436	0.000400543	0.009583950	0.000351191	0.010468721	0.001132965	0.010992527	0.000358820	0.011791468	0.000424623	0.012876272	0.000451326	0.013471842	0.000517845	0.014980078	0.000564337	0.015329599	0.000623941	0.015921831	0.000661373	0.016294003	0.000717878	0.019907951	0.000763178	0.019371986	0.000910282	0.023947477	0.000866175	0.019148588	0.000913143	0.020606041	0.000945091	0.021259308	0.001050949	0.026644945	0.001049280	0.022966623	0.001095295	0.023374557	0.001148701	0.024074554	0.001247883	0.025112391	0.001243114	0.025662899	0.001315117	0.026674747	0.001366377	0.027322054	0.001593590	0.032402992	0.005033731	0.029239655	0.001549244	0.031213284	0.001683950	0.030867100	0.001612186	0.030020237	0.001668930	0.032444477	0.003185511	0.055356503	0.006347418	0.104569197	0.012627363	0.204038620	
0.000175238	0.007659197	0.000663757	0.008949518	0.001053095	0.009088039	0.000742912	0.010115862	0.000344515	0.011514664	0.000370502	0.012081385	0.000425339	0.013152838	0.000463963	0.013385534	0.000513315	0.014252663	0.000578642	0.015824556	0.000600576	0.015426636	0.000754833	0.019338131	0.000718355	0.017992258	0.000784874	0.018904924	0.000817060	0.019829512	0.000861168	0.019107342	0.000932693	0.020447493	0.000950813	0.022907495	0.001060724	0.022669315	0.003037691	0.022584915	0.001197815	0.027054071	0.001333237	0.027284145	0.001223087	0.024917126	0.001337051	0.028307438	0.001318693	0.028985977	0.001366138	0.027663946	0.001477957	0.029871225	0.001477480	0.032072067	0.001514435	0.029937506	0.001568794	0.031458139	0.001637459	0.030647993	0.001655340	0.032316685	0.003189325	0.055791616	0.006434441	0.105277538	0.012756586	0.204311132	
0.000376940	0.008608341	0.000256538	0.009261608	0.000215530	0.009353876	0.000851154	0.009887695	0.000312567	0.011368036	0.000367880	0.012371063	0.000451803	0.012896776	0.000474453	0.013029575	0.000527143	0.015351772	0.000562906	0.016173363	0.000672102	0.017498732	0.000666618	0.016376019	0.000767469	0.019930601	0.000768423	0.018843412	0.000827074	0.022205591	0.000870466	0.019077778	0.000905752	0.020482779	0.000952482	0.021040440	0.001020432	0.021815300	0.001048803	0.022832155	0.001157522	0.023391485	0.001157522	0.024240494	0.001261950	0.028946877	0.001258850	0.025154591	0.001314163	0.025812864	0.001436710	0.027584791	0.001413345	0.027206659	0.001496077	0.030428648	0.001492977	0.029962301	0.001538992	0.030550718	0.001611233	0.031036377	0.001657963	0.032321215	0.003303528	0.055921793	0.006337166	0.104883194	0.012612820	0.203916550	
